seaTurtleMorphometricId,seaTurtleId,dateMeasured,sclSNotchNotchValue,sclNotchNotchUnits,sclNotchTipValue,sclNotchTipUnits,sclTipTipValue,sclTipTipUnits,scwValue,scwUnits,cclNotchNotchValue,cclNotchNotchUnits,cclNotchTipValue,cclNotchTipUnits,cclTipTipValue,cclTipTipUnits,ccwValue,ccwUnits,weightValue,weightUnits
c16b4c52-9c55-4039-8a29-d14c2dc2aaae,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-08-06,0,,0,,0,,0,,0,,0,,0,,0,,7.25,kg
8a2d36df-c5bd-44e2-8bf7-f261a12a611a,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-08-15,0,,0,,0,,0,,0,,0,,0,,0,,7.5,kg
2c7c4f76-edcd-482f-8456-f3e471d2cfcd,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-08-26,0,,0,,0,,0,,0,,0,,0,,0,,7.5,kg
388614e1-c168-47a4-84d4-956af955d4b2,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-09-16,0,,0,,0,,0,,0,,0,,0,,0,,7.5,kg
aa374783-2e94-4254-830f-92308bf051fa,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-10-28,0,,0,,0,,0,,0,,0,,0,,0,,7.95,kg
842214cd-520e-4519-83eb-1be365372482,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-11-11,0,,0,,0,,0,,0,,0,,0,,0,,7.9,kg
002a809e-463f-496c-ab6a-41259350473e,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-11-28,0,,0,,0,,0,,0,,0,,0,,0,,8.2,kg
30555535-8840-4ced-9853-a904c2745303,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2007-12-24,0,,0,,0,,0,,0,,0,,0,,0,,8.4,kg
a5b40d2c-6727-48ad-bf9f-432cab7aa8e6,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2008-01-07,0,,0,,0,,0,,0,,0,,0,,0,,8.65,kg
b25c6dc8-3cb9-415b-997e-6157a4b49788,52dfa471-bf2a-4cf5-9fac-0727e27ac3fb,2008-01-31,0,,0,,0,,0,,0,,0,,0,,0,,8.9,kg
55f7fe59-f25b-4dba-94a3-f3a4717a7a0e,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2007-10-21,34.6,cm,36.8,cm,0,,29.6,cm,36.4,cm,36.8,cm,0,,33,cm,5.45,kg
10f8ce79-9e6c-4a95-bb01-eca5e3caf422,ab69f34f-ee5c-4f2a-a935-bbda341f3d33,2007-11-05,0,,0,,0,,0,,0,,0,,0,,0,,5.9,kg
