seaTurtleId|seaTurtleName|sidNumber|strandingIdNumber|species|dateAcquired|acquiredFrom|turtleSize|status|dateRelinquished|relinquishedTo|anomalies|injuryBoatStrike|injuryIntestinalImpaction|injuryLineEntanglement|injuryFishHook|injuryUpperRespiratory|injuryAnimalBite|injuryFibropapilloma|injuryMiscEpidemic|injuryDoa|injuryOther|wasCarryingTagsWhenEnc|recaptureType|tagReturnAddress|captureProjectType|didTurtleNest|captureProjectOther|acquiredCounty|acquiredLatitude|acquiredLongitude|relinquishedCounty|relinquishedLatitude|relinquishedLongitude|inspectedForTagScars|tagScarsLocated|scannedForPitTags|pitTagsScanFrequency|scannedForMagneticWires|magneticWiresLocated|inspectedForLivingTags|livingTagsLocated|brochureComments|brochureBackgroundColor|brochureImageFileAttachmentId
595398B6-E455-43EC-950B-44E018A0FB71|Cm0704 Charlotte|7004||CM|2007-01-13|stranding - volusia cty|Juvenile|UR|2007-03-28|released|URI|N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
F0BEE2A1-2E5B-42C4-B65F-D082DE583663|Cc0705 Golly|7005||CC|2007-01-13|stranding - duval cty|Subadult|UR|2007-01-29|died|barnacle bill, emaciated|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
7129519F-15F3-4214-B51E-4A3DEDEFD988|Cc0706|7006||CC|2007-01-15|stranding volusia cty|Subadult|UR|2007-01-27|died|boat hit to head and carapace|Y|N|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
08030060-6F27-4B8E-BE41-03921C556960|Cc0708 Noah|7010||CC|2007-01-26|stranding - volusia cty|Subadult|UR|2007-02-04|died|emaciated barnacle bill|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
C62F1E2B-8864-4342-81E9-64D16EB9063B|69 baby green turtles|0700|MLB070213-01 to 69|CM|2007-02-13|nest  brevard cty|Hatchling|UR|2007-02-14|released|69 baby green turtles from late nest at patrick air force base|N|N|N|N|N|N|N|N|N|Y|N|||||||0|0||0|0|N||N||N||N|||-1|
0440F4E6-308D-489B-93B1-86B65D8B8C05|Cm0712|7036||CM|2007-03-13|stranding flagler|Juvenile|UR|2007-03-14|died|shell deformity, lung trauma|N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
0EBA1662-1ED7-4102-BF3B-7E026E258032|Cm0713|7045||CM|2007-03-15|stranding  brevard|Juvenile|UR|2007-03-19|died|emaciated, barnacle encrusted|N|N|N|N|Y|N|N|N|N|N||||||||||||||||||||||-1|
FDCF064A-3479-429E-9DBB-47D8B7108043|Cm0723|7060|AMF070330-01|CM|2007-03-30|Indian River Cty|Juvenile|UR|2007-04-11|died|severly emaciated, sternum through plastron, barnacle encrusted, leeches|N|N|N|N|Y|N|N|N|N|Y||||||||||||||||||||||-1|
D2CA4BD9-03FE-4E82-8911-96DE9044716E|Cc0668 Meyer|6322|MLB061210-01|CC|2006-12-10|NSB  Volusia Cty|Subadult|UR|2007-03-10|released|NE Stranding turtle - released by Gumbo LImbo|N|N|N|N|Y|N|N|Y|N|N||||||||||||||||||||||-1|
4977887B-9367-45B9-8191-933D9DC8E7F0|Cc0715|7047|MLB070321.01|CC|2007-03-21|NSB  Volusia Cty|Subadult|UR|2007-03-23|died|barnacle bill, anemic|N|Y|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
37610220-C2DD-47C8-A1C2-5B1124E0F386|Cm0716|7048||CM|2007-03-22|st johns cty|Juvenile|UR|2007-03-29|died|boat hit to spine and left eye||||||||||||||||||||||||||||||||-1|
98F48979-43DC-4950-B0F3-0541C0AACEE9|Cm0724|7061|DBH070404-01|CM|2007-04-04|Cape Canaveral Brevard Cty|Juvenile|UR|2007-04-07|died|gang green patches on all soft tissue and eating through plastron|N|N|N|N|N|N|N|Y|N|N||||||||||||||||||||||-1|
8C2B6397-953F-4FEC-9800-E151A8CC413B|Ei0725|7072|CJC070414-01|EI|2007-04-14|stranding brevard county|Post-hatchling|UR|2007-05-01|died|emaciated and covered in hair algaes and small barnacles|N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
92C76517-3478-4E88-8A36-C14B303F126A|Cm0728 Motley|7076|DBH070425-01|CM|2007-04-25|brevard cty  cape canaveral|Subadult|UR|2007-11-15|died|boat hit to left rear and side of carapace, floater, possible pelvic damage, unable to defecate|Y|N|N|N|N|N|N|N|N|N||||||||||||||||||||||-1|
700C67AC-0EC3-4AC5-A2EA-97CFAA87818C|Ei0727|7075|MLB070423-02|EI|2007-04-23|volusia cty, winter haven park|Post-hatchling|UR|2007-04-24|died|plastron damage from bird bite|N|N|N|N|N|N|N|N|N|Y||||||||||||||||||||||-1|
A258BA66-0BCD-4D6E-B72D-31285340ECB9|Ei0726|7074|MLB070423-01|EI|2007-04-23|volusia cty, winter haven park|Post-hatchling|UR|2007-05-25|died|emaciated||||||||||||||||||||||||||||||||-1|
8197CE74-5849-4D2C-A43E-B5605CA35896|Cc0729|7079|MLB070429-01|CC|2007-04-29|volusia cty, nsb intracoastal|Subadult|UR|2007-05-06|died|necrotic flesh pockets, emaciated|N|Y|N|N|N|N|N|Y|N|N||||||||||||||||||||||-1|
8D1CA4D5-751A-4F43-B2ED-3BE28416E25B|Cm0730 Blackie|7081|MLB070501-01|CM|2007-05-01|volusia cty, ponce inlet nsb side|Juvenile|UR|2007-08-13|released|shark bite, lacerated rff, rrf, head trauma|N|N|N|N|N|Y|N|N|N|N||||||||||||||||||||||-1|
